np;zagadnienie;redaktor;?
5;Przedmiot procesu oraz podstawa jego wszczęcia;Piotr;0
17;Niezależność i niezawisłość. Ustrojowe i proceduralne gwarancje niezawisłości;Łukasz;0
38;Terminy i doręczenia;Alek;0
51;Wyłączenie sędziego. Przesłanki i tryb postępowania. Bezstronność subiektywna i obiektywna;Iga;0
56;Wprowadzanie dowodów do procesu karnego. Wniosek dowodowy;Ada;0
62;Zakazy dowodzenia faktów;Kowal;0
65;Udowodnienie i surogaty udowodnienia;Piotr;0
66;Pojęcie i rodzaje czynności dowodowych;Łukasz;0
69;Kontrola i utrwalanie treści rozmów telefonicznych - granice podmiotowe, przedmiotowe i temporalne;Alek;0
77;Zatrzymanie osoby;Iga;0
79;Dyrektywy środków zapobiegawczych;Ada;0
91;Formy postępowania przygotowawczego;Kowal;0
99;Umorzenie postępowania przygotowawczego i umorzenie rejestrowe;Piotr;0
101;Formalna i merytoryczna kontrola aktu oskarżenia;Łukasz;0
102;Posiedzenie przygotowawcze (organizacyjne) przed rozprawą główną;Alek;0
105;Jawność rozprawy głównej;Iga;0
106;Udział oskarżonego w rozprawie. Prowadzenie rozprawy pod nieobecność oskarżonego;Ada;0
114;Zarzuty i przyczyny odwoławcze. Pojęcie i rodzaje;Kowal;0
128;Postępowanie w sprawie o odszkodowanie i zadośćuczynienie za niesłuszne skazanie, zatrzymanie i tymczasowe aresztowanie;Piotr;0
