np;zagadnienie;redaktor;?
7;Funkcje procesowe i funkcje przepisów prawa karnego procesowego;Alek;0
20;Zasada swobodnej oceny dowodów oraz zasada bezpośredniości;Iga;0
22;Dysponowanie skargą przez oskarżyciela;Ada;0
31;Formalne negatywne przesłanki procesowe;Kamila;0
32;Materialne negatywne przesłanki procesowe;Piotr;0
35;Prawidłowość czynności procesowych. Pojęcie i cechy prawidłowej czynności procesowej. Skutki wadliwości czynności procesowych;Kowal;0
41;Pojęcie i kategorie uczestników procesu;Alek;0
53;Reprezentanci stron procesowych. Pojęcie i rodzaje;Iga;0
67;Zatrzymanie rzeczy, korespondencji i przesyłek;Ada;0
72;Wrażliwe czynności dowodowe;Kamila;0
74;Świadek anonimowy i świadek koronny;Piotr;0
89;Zabezpieczenie majątkowe;Kowal;0
90;Cele i funkcje postępowania przygotowawczego;Alek;0
113;Ogólne i szczególne wymogi środka odwoławczego;Iga;0
115;Rodzaje rozstrzygnięć organu odwoławczego. Ograniczenia w orzekaniu na niekorzyść oskarżonego;Ada;0
116;Apelacja i postępowanie apelacyjne;Kamila;0
118;Zażalenie i postępowanie zażaleniowe;Piotr;0
124;Kasacja. Pojęcie, rodzaje i przesłanki oraz tryb postępowania. Rozstrzygnięcia sądu kasacyjnego;Kowal;0
127;Postępowanie w sprawie o ułaskawienie;Alek;0
